agency_id,agency_code,count_order
1,0000,2063
2,0001,9083
3,0003,2484
4,1001,126
5,0004,3191
6,0002,3802
9,0007,10
11,0009,324
14,1002,1
16,0012,318
19,0015,17
20,0016,2
25,0021,3
26,0022,1
30,5000,41
35,5005,466
45,0027,2
52,0033,576
53,0034,6
54,0035,30
55,0036,3
61,0042,107
64,0045,6475
68,0049,6063
70,0051,4
72,0053,683
73,0054,428
75,0056,2
77,0058,149
82,0063,1757
84,0065,4
91,0071,94
92,0072,74
93,0073,181
95,0075,2
98,0078,2123
103,0083,123
107,0087,1
108,0088,4
109,0089,346
110,0090,392
112,0092,1
115,0095,2
117,0097,30
118,0098,20646
123,0103,11
130,0110,3
131,0111,4163
133,0113,21
147,0127,428
150,0130,1
153,0133,8869
155,0135,414
168,0148,33713
172,0152,5988
179,0160,197
180,0161,78
192,0172,9
198,0178,2
212,0192,928
217,0197,11
220,0200,105
225,0205,2
227,0207,2642
236,0216,52
238,0218,4
244,0224,2772
251,0231,16
259,0239,31
264,0244,2
265,0245,244
266,0246,2141
299,0279,10
